ticker,previousClose,regularMarketOpen,bid,ask,dayLow,dayHigh,52WeekLow,52WeekHigh,volume,averageVolume,marketCap,beta,trailingPE,forwardPE,dividendYield,exDividendDate,payoutRatio,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,averageDailyVolume10Day,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualEps,epsTrailingTwelveMonths,epsForward,sharesOutstanding,floatShares,sharesShort,sharesShortPriorMonth,shortRatio,shortPercentOutstanding,shortPercentFloat,percentInsiders,percentInstitutions,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastCapGain,annualHoldingsTurnover,enterpriseValue,priceToSalesTrailing12Months,priceToBook,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,beta,enterpriseValue,priceHint,trailingAnnualDividendRate,trailingAnnualDividendYield,fiveYearAvgDividendYield,dividendRate,annualDividendRate,dividendYield,financialCurrency
AACG,0.89,0.942,,,0.9,0.9497,,,3663.0,27203.0,30304574.0,,,-0.95808077,,1535328000.0,,,,,,,,0.947,1.0728,,,11230.0,,,,,,,0.78,1.65,,,,,,,31950000.0,16891036.0,14145.0,20883.0,0.96,,,,,-0.99,,,,0.159,-1.805,,,,,,36060984.0,0.13325001,0.30518016,1711843200.0,-33857004.0,-0.15,-0.99,,36060984.0,4.0,,,,,,,CNY
AACI,11.49,11.5,11.39,11.59,11.41,11.55,,,64831.0,24360.0,82319048.0,-0.015,,,,,,,,,,,,11.39118,10.946575,,,18940.0,,,,,,,10.199,12.53,,,,,,,7127190.0,2425972.0,15342.0,2035.0,0.37,,,,,,,,,,,0.12803984,0.23485482,,,,94752672.0,,,1703980800.0,-1287491.0,-0.14,,-0.015,94752672.0,2.0,,,,,,,USD
AACIU,11.5,,,,11.43,11.43,,,99.0,200.0,,-0.015,,,,,,,,,,,,11.1906,10.87415,,,,,,,,,,8.87,13.2,,,,,,,,2425972.0,49.0,862.0,0.11,,,,,,,,,,,0.10648596,0.23485482,,,,92411544.0,,,1703980800.0,-1287491.0,-0.203,,-0.015,92411544.0,2.0,,,,,,,USD
AACIW,0.1707,0.1312,,,0.1707,0.1707,,,12.0,,,-0.015,,,,,,,,,,,,,,,,,,,,,,,0.1707,0.1707,,,,,,,,2425972.0,,,,,,,,,,,,,,,0.23485482,,,,,,34.14,,-1287491.0,,,-0.015,,4.0,,,,,,,USD
AADI,1.735,1.74,1.76,1.82,1.715,1.81,,,184218.0,291741.0,44197560.0,0.355,,-0.6293706,,,,,,,,,,1.961,3.2517,,,153340.0,,,,,,,1.55,8.49,,,,,,,24554200.0,15964653.0,963945.0,1101024.0,5.5,,,,,-2.86,,1:15,1630022400.0,-1.8,0.576,-0.7785978,0.23485482,,,,-42910432.0,1.8539245,0.48859933,1711843200.0,-68831000.0,-2.55,-2.86,0.355,-42910432.0,4.0,,,,,,,USD
AADR,64.81,64.48,60.25,69.33,64.3255,64.7907,,,890.0,1063.0,,,15.313371,,,,,,,,,,,62.508,55.6445,,,490.0,,,,,,,45.76,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
AAGR,0.3825,0.397,,,0.376,0.397,,,33930.0,284242.0,22151412.0,,,,,,,,,,,,,0.37588,3.3823543,,,96950.0,,,,,,,0.29,11.390681,,,,,,,57866800.0,15237762.0,374965.0,554634.0,3.06,,,,,,,1395:1000,1701907200.0,19.27,-0.768,-0.94761914,0.23485482,,,,33666876.0,12.678975,,1711843200.0,-46121604.0,,,,33666876.0,4.0,,,,,,,USD
AAGRW,0.012,0.0129,,,0.0129,0.0129,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129,0.0129,,,,,,,,15237762.0,,,,,,,,,,,,,,,0.23485482,,,,,,,,-46121604.0,,,,,4.0,,,,,,,USD
AAL,11.44,11.49,11.48,11.51,11.25,11.57,,,59153565.0,33152517.0,7545034752.0,1.58,16.197184,3.9383562,,1580774400.0,,,,1.27,,,,14.0446,13.6766,,,44527400.0,,,,,,,10.86,19.08,,,,,,,656089984.0,647134711.0,53327236.0,51721369.0,1.69,,,,,2.92,0.11,,,0.724,6.499,-0.22349763,0.23485482,0.1,,,38509039616.0,0.14190665,,1711843200.0,500000000.0,0.71,2.92,1.58,38509039616.0,2.0,,,1.27,,,,USD
AAME,1.66,1.6881,,,1.67,1.7299,,,4818.0,6396.0,34067664.0,0.435,,,0.0117,1712793600.0,0.1429,0.02,0.012048192,0.65,0.02,,0.0117,2.0254,2.12925,0.02,0.012048192,5080.0,,,,,,,1.49,3.0,,,,,,,20399800.0,4052820.0,1033.0,44996.0,0.18,,,,,,,5:4,531446400.0,0.284,19.746,-0.20476192,0.23485482,0.02,,,53275596.0,0.18167387,0.33154655,1711843200.0,-1122000.0,-0.05,,0.435,53275596.0,4.0,0.02,0.012048192,0.65,0.02,,0.0117,USD
